,Artist,Name,ID,Playlist,Energy,Liveness,Tempo,Speechiness,Acousticness,Instrumentalness,Danceability,Key,Duration,Loudness,Valence,Mode
701,Kodak Black,"If I'm Lyin', I'm Flyin'",7HdNB8nvJOBwHa8hIkzvxp,gibberish,0.617,0.186,176.117,0.24,0.0996,3.41e-06,0.715,11,130929,-5.558,0.283,0
702,Kodak Black,Gnarly,40Rpg3LkZwwzuHJ3GdjMma,gibberish,0.784,0.123,144.981,0.0833,0.469,0.0,0.764,10,186403,-4.003,0.51,0
703,Kodak Black,Close to the Grave,5eMbTELOeo7gEdFAIBix0c,gibberish,0.528,0.146,129.695,0.179,0.044,0.0,0.638,1,221538,-6.83,0.368,1
704,Lil Baby,Global,7cW1wHpSLYgKWzoWlOCPFJ,gibberish,0.565,0.113,163.827,0.441,0.106,0.0,0.672,1,169826,-6.504,0.313,1
705,Lil Baby,Pure Cocaine,577YBGuskWkVDCxZrLRB4v,gibberish,0.487,0.115,127.05,0.421,0.00127,6.57e-06,0.964,10,154024,-6.071,0.107,0
706,Lil Baby,Crush A Lot,39RWYLt6hgk9BbhkDgaHW9,gibberish,0.458,0.107,132.992,0.315,0.0171,0.0,0.92,5,159755,-5.643,0.403,0
707,Lil Baby,Ready (feat. Gunna),4F6yN5FsFW10Ucx7cLCzBh,gibberish,0.395,0.109,77.027,0.385,0.277,1.4e-05,0.793,1,213287,-5.578,0.129,1
708,Lil Baby,Word On The Street,52i143Ph5c3RQaQFBXWix1,gibberish,0.432,0.112,99.965,0.0934,0.0562,0.0,0.888,10,172986,-9.275,0.173,0
709,Lil Baby,Anyway (feat. 2 Chainz & Gucci Mane),3zxiTHxE4MxwuYf8aLQ9ax,gibberish,0.552,0.279,140.098,0.383,0.0555,0.0,0.874,2,226647,-5.997,0.231,1
710,Lil Baby,No Friends (feat. Rylo Rodriguez),6pidGCJ9El17HdXaPO0OO2,gibberish,0.595,0.084,159.929,0.258,0.00112,0.0,0.645,7,192009,-6.876,0.461,1
711,6ix9ine,TIC TOC,4m5Cd9kAbIxg6t9sMrQWtk,gibberish,0.691,0.344,142.027,0.0723,0.0115,0.0,0.82,6,135739,-6.646,0.683,0
712,6ix9ine,FEEFA,26jYPsHHSOxCTz4cLt6SbQ,gibberish,0.728,0.106,140.007,0.0809,0.0412,0.0,0.754,6,163086,-7.61,0.594,0
713,6ix9ine,DUMMY,3uPuEFKEzGTn628CCQZUCF,gibberish,0.628,0.0976,90.985,0.0718,0.0775,5.35e-06,0.72,5,155653,-7.192,0.591,0
714,6ix9ine,GOTTI,27oFpFktCq9JIXjJQRuv7a,gibberish,0.584,0.0658,161.9,0.176,0.0524,0.0,0.728,10,166852,-7.255,0.365,0
715,Young Thug,Wyclef Jean,55OdqrG8WLmsYyY1jijD9b,gibberish,0.576,0.143,132.054,0.239,0.124,0.0,0.863,5,236293,-5.687,0.832,0
716,Gunna,Drippin,2UhmCSdcRWnB2DXyljiYba,gibberish,0.365,0.122,147.031,0.442,0.0424,0.0,0.861,0,156735,-7.121,0.157,0
717,Gunna,Almighty (feat. Hoodrich Pablo Juan),1FsnTycveplwrTPRjJwbwr,gibberish,0.335,0.113,118.006,0.479,0.223,1.28e-05,0.953,1,144407,-11.377,0.274,1
718,Gunna,Top Off,1dpFMMagx6agdv4I1JxwkK,gibberish,0.395,0.117,146.056,0.206,0.0103,0.000195,0.906,1,197420,-11.277,0.376,1
719,Gunna,Pedestrian,59F5U0HyyHE7jtbFaJnBnU,gibberish,0.578,0.319,172.96,0.129,0.0906,1.58e-06,0.736,7,225381,-7.387,0.133,1
