,Artist,Name,ID,Playlist,Energy,Liveness,Tempo,Speechiness,Acousticness,Instrumentalness,Danceability,Key,Duration,Loudness,Valence,Mode,Clusters
1015,"Tyler, The Creator",Pothole (feat. Jaden Smith),5SxlUF7J8tyFIEF22EomeP,wack,0.5720000000000001,0.28,89.38600000000001,0.33799999999999997,0.51,7.23e-06,0.5429999999999999,11,237000,-8.974,0.569,1,2
1016,"Tyler, The Creator",Garden Shed (feat. Estelle),6ACiYjq5Q7e6BlhZEHz7cd,wack,0.456,0.12,112.984,0.0579,0.381,0.016,0.423,2,223947,-8.45,0.14800000000000002,0,2
1017,"Tyler, The Creator",Boredom (feat. Rex Orange County & Anna of the North),5WNYg3usc6H8N3MBEp4zVk,wack,0.578,0.324,79.938,0.151,0.79,0.000522,0.5589999999999999,8,320720,-9.54,0.239,1,2
1018,"Tyler, The Creator",911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),4bEcoz1OcfMgUbp2ft8ieQ,wack,0.61,0.313,90.03399999999999,0.305,0.0456,0.0,0.48,0,255653,-7.042000000000001,0.297,1,1
1019,"Tyler, The Creator",Glitter,0qtK3XwbuG153dmwB8iepL,wack,0.434,0.633,78.57,0.243,0.306,2.76e-06,0.449,1,224893,-11.777000000000001,0.371,1,2
1020,"Tyler, The Creator",IGOR'S THEME,51RN0kzWd7xeR4th5HsEtW,wack,0.672,0.607,163.1,0.377,0.0055899999999999995,0.243,0.467,10,200693,-7.371,0.0648,0,1
1021,"Tyler, The Creator",EARFQUAKE,5hVghJ4KaYES3BFUATCYn0,wack,0.498,0.795,79.635,0.0685,0.23,5.98e-06,0.5539999999999999,9,190067,-8.866,0.413,1,1
1022,"Tyler, The Creator",I THINK,4f8Mh5wuWHOsfXtzjrJB3t,wack,0.579,0.129,121.075,0.0801,0.00881,0.0,0.826,8,212013,-8.241,0.431,0,1
1023,"Tyler, The Creator",RUNNING OUT OF TIME,5QvBXUm5MglLJ3iBfTX2Wo,wack,0.391,0.129,84.281,0.0528,0.29600000000000004,0.00040599999999999995,0.36,6,177227,-10.6,0.162,1,1
1024,"Tyler, The Creator",NEW MAGIC WAND,0fv2KH6hac06J86hBUTcSf,wack,0.73,0.6729999999999999,139.566,0.107,0.0967,0.000131,0.621,5,195320,-5.414,0.46399999999999997,0,0
1025,"Tyler, The Creator",A BOY IS A GUN*,1nXZnTALNXiPlvXotqHm66,wack,0.6890000000000001,0.496,79.568,0.17800000000000002,0.575,0.0,0.41700000000000004,2,210253,-8.302,0.505,0,2
1026,"Tyler, The Creator","GONE, GONE / THANK YOU",1hz7SRTGUNAtIQ46qiNv2p,wack,0.49200000000000005,0.146,78.848,0.193,0.21600000000000003,0.0012,0.518,10,375387,-8.436,0.47100000000000003,0,1
1027,"Tyler, The Creator",ARE WE STILL FRIENDS?,5TxRUOsGeWeRl3xOML59Ai,wack,0.49700000000000005,0.111,187.308,0.0371,0.128,2.39e-06,0.21600000000000003,10,265480,-8.025,0.313,1,1
1028,Childish Gambino,I.Crawl,0ccmrEgpKa5iFvijTxIrGf,wack,0.539,0.121,132.976,0.0396,0.0445,4.82e-06,0.588,6,209473,-8.816,0.34299999999999997,1,1
1029,Childish Gambino,"III. Telegraph Ave. (""Oakland"" by Lloyd)",0VXfZi7XhfJnuBvF6XiypU,wack,0.693,0.142,129.929,0.247,0.159,0.0261,0.496,5,210673,-9.576,0.597,0,0
1030,Childish Gambino,II. Zealots of Stockholm [Free Information],4J5vBoKj2w2mBXbGqNDFYV,wack,0.402,0.281,73.575,0.0875,0.0863,0.0003,0.24,6,290706,-11.734000000000002,0.0959,1,1
1031,Childish Gambino,I. Pink Toes,1o18SV1lvB4oO6fLquctDS,wack,0.619,0.575,79.579,0.091,0.0598,0.000223,0.409,7,207067,-9.512,0.34700000000000003,1,1
1032,Childish Gambino,II. Earth: The Oldest Computer (The Last Night),3KJ9YerG9YWIK4xEgi4AM8,wack,0.688,0.047,139.895,0.0507,0.00435,0.00018600000000000002,0.562,2,282418,-7.247000000000001,0.124,1,1
1033,Kanye West,I Am A God,0HMCdlOPJkAGlB0MlSWIcO,wack,0.532,0.165,111.829,0.0713,0.0366,0.0007830000000000001,0.506,4,231507,-7.403,0.303,0,1
1034,Kanye West,I'm In It,52NmkyHsGsHGb1UX8fTkMg,wack,0.604,0.0668,170.312,0.344,0.141,0.0,0.486,1,234853,-4.591,0.45,1,1
1035,Kanye West,Black Skinhead,722tgOgdIbNe3BEyLnejw4,wack,0.821,0.168,130.07299999999998,0.268,0.00112,0.0,0.7659999999999999,1,188013,-6.124,0.299,1,1
